,comentario,sentimento
0,"Vai continuar a mesma,  eles vão para defesa do consumidor e vira danos moraes com perdas , leis aqui é oara os amigos yifo, para os adversários a regra dira da lei.",
1, se você pagar uma assinatura mensal eu coloco. No Instagram eu não ganho dinheiro,
2,"Ne isso kkkk, esses adv de instagram vivem disso",
3,"Propõe o que? Ter sua mala extraviada e deixar pra lá apenas pq gosta de aviação? Se vc contratar um serviço e esse serviço não for prestado conforme o contratado, vc deixa para lá?",
4,😂😂😂😂😂😂😂😂😂😂,
5,"Com base em manchetes assim, o “tio do zap”, que só lê as headlines, divulga informações incorretas. É compreensível, pq o clickbait atrai muitos acessos!",
6,"Quer dizer que se perder a bagagem com seus pertences e compras feitas no exterior você só recebe R$164,00 ?",
7,"Deveria limitar pra todos os tipos de danos morais, nacional, internacional...",
8," e sim, um site sobrevive de acessos quando tem conteúdo gratuito. Se vamos falar de apelação em divulgação nas redes sociais. Não vou nem comentar. Uma boa noite",
9," mexeu no mercado secreto deles, vão surtar sem criar vitimização. Kkkkkk",
10, arrume outra maneira de monetizar,
11,"Querida Jessica, dá um Google no meu nome. Haters não passarão! 😉",
12, 😉,
13,"O título da matéria precisa ser mais claro. 
O STF limita as indenizações reparatorias de DANOS MATERIAIS, em casos de dano ou extravio de bagagem ocorrido em voo internacional. 
Os DANOS MORAIS não possuem qualquer tipo de limitação e são apreciados à luz do Código de Defesa do Consumidor.",
14," o título da matéria é apenas um pré chamado, tem que ler a notícia. O pessoal quer ler a matéria no título",
15,Uma simples gorjeta e por isso interessante é declarar o valor da bagagem,
16,Kkkkk $tf sempre !!!,
17," então bota a matéria completa pra facilitar, amigo",
18," a limitação da reparação do dano material é de 1000 DES, algo em torno de R$7657,80, na cotação atual.",
19,"Resumindo a história: Caso dividam a conta, os aeroportos vão aumentar as taxas de pouso/decolagem, aumentar o aluguel da loja de pão de queijo… As companhias aéreas vão repassar esse reajuste para os clientes, assim como os restaurantes… em resumo, os passageiros vão continuar pagando a conta. Sempre foi assim, e sempre vai ser assim…",
20," em muitos aeroportos , a fauna está dentro da zona aeroportuária.",
21,aves de rapina na escala 6x1.,
22,"Não sei até q ponto isso é justo, pq o aeroporto não tem culpa q os pássaros tão ali, mas alguém tem q pagar, então isso sobra p Companhias Aéreas q tbm não tem culpa, mas são responsáveis pelo avião danificado",
23," Aq no GIG o Manejo de Fauna é responsabilidade do Aeroporto e acredito q em muitos lugares tbm são assim, mas eles estão sempre em ação, então não é justo o aeroporto pagar tbm. Lembrando: Quando a reporte de pássaros na decolagem ou no pouso, eles são interrompidos e o manejo de fauna entra em ação, na maioria das beE",
24,Nas maiorias das vezes com aves de rapina,
25," sim, a ASA. Porém o aeroporto faz o levantamento dos focos atrativos (lixoes, açougues, frigoríficos, pontos de acúmulo de lixo), faz o trabalho de conscientização com a comunidade no entrono. Porém, ações contundentes é do órgão municipal/distrital/estadual. E existem meios de divulgação através de ofício e comissões de gerenciamento do risco da fauna. São itens obrigatórios do regulamento.",
26,Daqui a pouco vai querer dividir com o ibama também,
27," as companhias aereas vivem operando no vermelho, ai acontece um bird-strike, a companhia tem que assumir sozinha? Ja nao basta o pais ser o pais que mais processa companhias. Todo o modelo de aviação tem que ser revisto. Protegendo as cias, os preços diminuem.",
28,E quem tem que garantir o entorno do aeroporto é o aeroporto ou o governo?,
29,"Dentro da zona aeroportuária, responsabilidade do aeroporto. Fora da zona aeroportuária, responsabilidade do governo. Por isso o certo é trabalho conjunto e contínuo",
30, prove isso kkk,
31,"Não preciso provar, é fato. Igual processo de passageiro sobre cancelamentos por mau tempo. Isso encarece a tarifa. O mercado regula isso , é um fato kkkk. Tudo é passado ao consumidor.",
32,Qual medida o aeroporto pode tomar para evitar bird strikes?,
33,Adivinha quem ira pagar a conta .......,
34,Mais que justo afinal a Cia. Aérea paga pela operação segura e se o aeroporto não oferece isto seria no mínimo justo a divisão do prejuízo,
35,"Não é necessário ter lixo pra ter ave. O próprio tipo de ambiente dos aeroportos já é atrativo para uma infinidade de aves. Se tem água perto, vai atrair. Se tem grama, vai atrair. Se tem restinga no entorno, vai atrair. Só pea citar alguns exemplos.",
36,"Vc já paga esse prejuízo nas passagens… infraestrutura é do aeroporto, então o certo é ele pagar mesmo, investir em equipamentos, tecnologia e aves de rapina.",
37,É um problema de política pública. São vários atores atuando em conjunto. No final sempre vai ser o usuário que paga.,
38," aeroporto tem equipe de biólogos para controle de fauna, usam aves de rapina para afugentar outros passáros e outro meios desse tipo",
39,Aguarde,
40,Só querem cobrar taxas,
41,"Eu concordo totalmente,  por entre tantos motivos, os gestores dos aeroportos são responsáveis pela estrutura ( e cobram caro por cada embarque ) ; devem arcar com esse custo, já que pode ser considerado uma falha de controle e processo",
42,Controle de fauna externo é responsabilidade dos órgãos municipais e estaduais. O aeroporto faz o mapeamento e envio de ofício.,
43,"1% dos custos das companhias aéreas é referente a processos judiciais, parece pouco mas em valores isso representa 1 bilhão de reais por ano.",
44,Eu acho que você não leu o que falei… voltei três casas!,
45," bom dia, dei uma pesquisada agora, e de acordo com as informações na internet os processos são em quantidade de voos e não em quantidade de passageiros, e pelas informações demonstram que, o brasil tem o pior sistema de transporte aéreo no mundo, pois já que a comparação é pelo número de voos, e sendo as principais causas, atrasos, mudanças e cancelamento de voos, cobranças indevidas de taxas e extravio de bagagens (só sou contra processos quando o atraso é por problemas climáticos) então está demostrado a ineficiência das empresas brasileiras, já que no mundo estamos em 4º lugar no ranking mundial de voos anuais, ou seja os estados unidos que está em primeiro que tem 15% do total global de voos e o brasil com 1,2% somente, demonstra que somos um dos piores em qualidade de serviço pois dificilmente uma pessoa vai processar uma empresa se não tiver motivo sendo que, se a reclamação não tiver fundamento o passageiro vai perder, agora resta saber se, esses números de processos são somente o total ou se são só os que os passageiro tiveram exito na causa.",
46," meu jovem, se uma pessoa se sente prejudicada por algo, ela tem o direito de procurar a justiça para reaver esse dano. Não sou eu nem você que vai jugar se procede ou não. Entrar com um pleito na justiça não significa automaticamente você ganhar esse pleito. Inclusive as indenizações por danos morais são bem pífias no Brasil. Sobre a questão de “estoque de avião”, as pessoas acham que cias tem aeronave no bolso pra substituir, o que é inviável (acho que respondeu sem ler o comentário rs) mas o fato é que seja por safety ou não, isso não é responsabilidade do consumidor e se a cia não cumprir com os suportes previstos em função do tempo de atraso, e se o consumidor se sentir prejudicado, é direito dele buscar essa reparação.",
47," isso mesmo, apesar de nunca ter processado uma cia aérea (e olha que ja tive muitos motivos pra isso), é direito das pessoas recorrerem à justiça se se sentirem lesionadas e isso não vai mudar, pois é direito delas questionar (ainda bem que vivemos em um país livre). Entrar com uma causa não significa ganha-la.",
48,Óbvio que tá,
49, aí o alecrim quer ir lá e tentar ganhar 9000 por isso?,
50,Eu disse isso ?,
51,"Por favor, peço que informe o nome da empresa que tem esse anúncio para que seja denunciada. Todo o incentivo à judicialização pode e deve ser denunciado à OAB",
52,"Por favor, envie o nome da empresa que encaminharei a denúncia à OAB",
53, ta ganhando quanto pra defender as empresas aéreas bilionárias??,
54, Aqui nesse país se processa por tudo. Brasileiro tem essa mente pequena de querer ganhar e levar vantagem não importa a circunstância. E ainda querem um país melhor.. kkkkk,
55," eis o famoso ""processa por tudo"" e não entende nada com nada",
56," o consumidor também não perde um voo porque que e partir no horário contratado também é OBRIGAÇÃO da cia, repito: o atraso de um voo não é responsabilidade do cliente. Cada um com suas responsabilidades. Quem se sentir lesado tem o direito de buscar reparação e ponto. Se esse pleito é justo ou não, não é você ou eu que definimos, mas ir à justiça é um direito das pessoas. Também creio que não seja tão difícil de entender.",
57,"Se as empresas brasileiras não agissem de má fé, talvez não tivesse tanto processo. Já ouvi de atendente que não são obrigados a respeitar o código de defesa do consumidor... Se tem ganho de causa, é porque desrespeitou a lei. Não adianta reclamar depois. Se fossem reclamações infundadas, os passageiros não teriam ganho de causa.",
58," tem os dois lados; se atrasar e perder o embarque, perde o voo. Sem dor e desculpas! Então de certa forma é justo o outro lado da ""moeda"" ter algum direito. Eu idealizo que seria justo um ""acordo mais amigável para ambas as partes.",
59," com relação a informação do Brasil ser um dos países com o pior transporte aéreo com a conclusão que cheguei com base nas informações dos dados, pois se o primeiro colocado em quantidade de voos detem 15% e nós com somente 1,2% temos esta quantidade toda de processos ou seja, praticamente em 98% dos voos ocorrem problemas que algum dos passageiros precisam recorrer ao judiciário, vou citar um caso bobo que aconteceu comigo sou cliente black signature da latam, fiz a postulação do pedido de upgrade, fui o primeiro da fila até 1h antes do voo, chegou aviso que não tinha conseguido upgrade para a premium economy, porém uma amiga minha estava viajando comigo no mesmo voo, eu que tinha comprado a passagem dela, chegou na hora do embarque, ela que nem cadastro na latam tem, recebeu upgrade e eu não, é uma coisa boba, se quisesse poderia ter processado, sim pois como eu tinha tudo registrado o meu pedido de upgrade e a negativa e os cartoes de embarque da minha amiga que até na hora do embarque era assento comum, ou seja a propria cia faz o que quiser, nem ela respeita suas próprias regras, abri uma reclamação somente na latam pedindo explicações a resposta que obtive foi que nem eles sabem o motivo da minha acompanhante que nao tem cadastro na latam, que eu nao tinha feito pedido de upgrade pra ela, só pra mim, recebeu o upgrade e eu que era o primeiro da fila não",
60, *FLN*,
61,Lei de Gérson. Daí não adianta reclamar dos nossos políticos..,
62,"Coitada das grandes empresas , o consumidor sem coração está prejudicando o lucro dos empresários apenas por fazer a lei ser cumprida 😢",
63,Dou a eles a mesma atenção que eles me dão quando a mala extravia.,
64,"“Hihi, levei vantagi”",
65,"Brasil o país da vantagem, do que sabe com que está falando e etc…",
66,"Solução, ferrovia de alta capacidade e velocidade...",
67,"O país do direito esem responsabilidade na aviação. O consumidor, com ou sem direito, tem direitos.",
68,"Pelos comentários, dá pra perceber porque somos de quinta categoria.",
69,"Ou seja. Não é por isso que o BR é líder. Aliás, nem sei se é mesmo. Qual a fonte?",
70,Se criou uma leva de advogados ao estilo porta de cadeia. Mas esses são porta de aeroporto. Tem que mudar essa lei no pais de proteger só o consumidor. Anac tem regras ultrapassadas.,
71," Quem vai processar é geralmente os mais ricos. O pobre aguenta três horas sem frescura e já está acostumado com perrengue, além de não poder arcar com os custos processuais.",
72,"Acho justo, temos as passagens aéreas mais caras do planeta.",
73,"Deixando de seguir em 3,2,1",
74," já começa que brasileiro tem uma cultura merda de querer levar vantagem e passar por cima de tudo e todos a qualquer custo, quando vê um oportunidade já quer levar vantagem até em um caralho de fila, por isso que essa merda é toda errada e já nem problema político mais é nesse país. Se um voo atrasou é porque o “safety” está sendo cumprido independente do modelo de negócio ter risco, condições adversas de tempo é indiscutível né mas mesmo atrasos de manutenção não dá pra reclamar, é segurança, aviação comercial tem um padrão muito alto de manutenção deveria saber. Ter estoque de avião? Hahaha isso é ridículo nem dá pra comentar, fora que o lucro de uma companhia aérea gira em torno de 2 a 5 % ou seja só funciona porque é um serviço essencial, claro que existem casos como de overbooking, perdas de bagagem e similares que são chatos e merecem atenção agora fora isso só vejo um monte de esperto.",
75," claro que não, imagina você abrir uma lancheira, o custo para fazer o lanche é 10, você vende por 20, o cara não gosta e entra na justiça e você tem que dar para ele 2000. O que vai acontecer é que somente classe média e alta irá voar porquê esses custos serão repassados para as passagens",
76," Exatamente, devido a qualquer coisa ser processada o preço das passagens é um dos maiores do mundo.",
77,"Se for para baratear o preço das passagens eu apoio esse combate ao excesso de ações contra empresas aérea. Mas quando a gente observa uma passagem de Teresina para Fortaleza, comprada com antecedência de 30 dias, custar R$1.500,00 a gente fica meio sem acreditar na boa vontade das Cias Aérea",
78,"O congresso deveria legislar a respeito, um PL isentando as cias aéreas por atrasos e cancelamentos (ao menos por questôes de segurança) acabaria com essa balbúrdia. Falta vontade e representantes.",
79,Moro na Europa e aqui tem esse mesmo comercial.,
80,"Ue, gente?! O acesso à justiça é um direito do cidadão. Se ele considera que teve um dano e decide processar a cia buscando reparação desse dano, é um direito dele (e se a justiça considerar que não faz sentido e ele perder a causa, pagará as custas e tá tudo certo), caso contrario cabe a ela reparar o dano alegado. É o risco do negócio dela (e o custo está embutido no preço pago por todos nós). Agora numa situação oposta, se por motivos adversos à minha vontade eu me atrasar para um voo? Vcs sabem muito bem quem irá arcar com custos altíssimos por um no-show. Eu ja passei por muitos atrasos, inclusive perdendo voos subsequentes que não eram da mesma reserva… nunca me senti prejudicado a ponto de abrir uma demanda judicial pra isso, mas se algum dia acontecer de me sentir lesado, processo sem dó!",
81,"A publicação que disse que a indenização de 9 mil é certa é tão irresponsável quanto esta. A quantidade elevada de processo por si só não quer dizer que eles são procedentes. Além disso, o atraso ou cancelamento não gera uma obrigação de indenização automática, mas acontecendo uma situação dessa e as companhias não atendendo de maneira adequada, com as ações previstas pela Anac , pode sim gerar a indenização.",
82," o consumidor pagou para ser transportado e ele só quer isso. A responsabilidade por uma pane na aeronave não é dele rs a cia tem estoque de aeronaves paradas para substituir?  Claro que não, isso é inviável! mas dê o mínimo de suporte ao consumidor que já está prejudicado. (E parem de passar pano p cia aérea, fica parecendo que estão revendendo algum tipo de patrocínio pra fazer essa campanha - está bem chato)",
83,"Claro, aí processando o valor da passagem diminui!",
84," hora de vc ficar quieto, assim será um poeta 👌🏻",
85,Mais cabide de emprego chegam.,
86,"O INSS é um exemplo,os correios também,o certo é vender todas.",
87,Estatal - Nordeste - Governo (já sabem o que vai dar né?),
88, até eu vou contribuir com os kkkkkkkkkkkkkkkkkkkkkkkkkk,
89,Privatizar e reduzir o peso dos impostos ⛔  criar mais estatais para dar emprego para a companheirada? ✅,
90,"Ja sei, A Janja Canja vai ser a presidenta da estatal. Uma otima ideia pra movimentar eleitor nordestino com precinhos companheiros. Otima ideia. Governo só dá dentro.",
91, CPI Airlines kkkkkkk,
92,"Para atender bolsos regionais, isso sim.",
93,VASP mandou lembranças e correios também,
94, leu meus pensamentos.,
95,que comece o controle de quem vai e vem....,
96,Cuba brasileira,
97,Quando a piada já vem pronta,
98,"Empresas aéreas privadas, com boa governança, quadro enxuto andam no vermelho, fazendo malabarismo pra ser sustentável. Agora imagina uma estatal aérea na mão de governos, e o mais agravante governo de esquerda. Tinha é que privatizar ou extinguir a maioria das estatais!",
99,Mais um pra virar cabide de emprego.,
100,Bienvenidos a Venezuela,
101,eu conto para os tripulantes sobre a SEST ou deixo eles descobrirem sozinhos?,
102,"Reduzir os impostos da Azul, Gol, e Latam seria uma boa! Assim elas teriam mais dinheiro em caixa para ampliar a malha até os Aeroportos menores! Outro problema é que se abrirem uma estatal, vão criar mais concorrência para as companhias existentes!",
103,Aí que começa os lobby. Acabaram com as estatal agora vão criar de novo. É fácil administração da Elen presa aérea. Único jeito de começar bilionário e terminar milionário e a empresa de linha aérea no Brasil 🇧🇷. Vive de Consecao e verbas governamentais. Até dar prejuízo e a gente pagar outra conta. Isso é o populismo,
104, fica fácil de se resolver com dinheiro público,
105,Mais uma propinada aérea,
106,Mais uma fonte de “recursos” para os políticos!!!!!,
107,Do jeito que a coisa vai só assim pra suprir a demanda.,
108, Não é o governo federal. Sim dos municípios atendidos. A aviação é desenvolvimento que seja do interesse do Prefeito/Governador. Tirar o ICMS do QAv já seria um começo.,
109,"Com realidade que vivemos uma iniciativa dessa até teria pontos positivos. Mas, a realidade brasileira não deixa dúvidas de que será um antro de privilégios p grupos políticos e um ralo aberto p jorrar o dh dos pagadores de impostos, nosso dh.",
110, Vá fazer pix pra zambeli,
111, então bom deve ter sido são paulo que entregou a Sabesp para os amigos do rei,
112,🇻🇪🇻🇪🇻🇪🇻🇪,
113,"Criar uma aérea não, mas sou super a favor que o governo subsidie rotas não-rentáveis em regiões isoladas! Voei com a companhia aérea Wilderoe na Noruega e fiquei impressionado com a oferta de voos - extremamente importante pra comunidades isoladas de lá. Imagina no Brasil, que é bem maior!",
114,"É NOSSA HISTÓRIA ! Não pode, de maneira nenhuma, deixar a sociedade brasileira desconhecida de tal fato. 
A cobra segue fumando 🐍🇧🇷
Esses foram e sempre serão nossos verdadeiros HERÓIS! 🔥",
115," eu entrei na época direto pela Avianca, eu iria fazer o curso de agente porém não me recomendaram porque cada cia tem sua cultura e padrão fora os cursos que você faz internamente e pela Infraero.",
116,"Eu era agente em CGH pela Avianca e daí eu era muito comunicativo em diversos setores da empresa principalmente no D.O, fui até convidado para trabalhar lá mas não fui. Aprendi muito, fiz muitos cursos, com um ano de casa sabia mais que muitas colegas. Enfim, vivi bons tempos ali até no setor comercial no embarque de grupos, outro aprendizado. Levo e aplico a prevenção e Segurança lá aprendida.",
0,Agora tem que ser nacional tbm,neutro
35,"
Nada melhor do que ouvir quem entende do assunto! 👏👏",neutro
36, obg,neutro
498, não sabia! E faz sentido lá também,neutro
519,👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,neutro
522,👏👏👏👏👏👏,neutro
523,🇧🇷,neutro
524,🇧🇷🇧🇷👏👏👏,neutro
525,👏👏🇧🇷🇧🇷,neutro
527,🇧🇷🇧🇷🇧🇷❤️❤️👏🏽👏🏽👏🏽,neutro
528,🙏🙏,neutro
679, exatamente isso.,neutro
683,Upp,neutro
706,Isso não se encaixa na lei Maria da penha.,neutro
727," posicionamento como sempre razão pro pax, não é novidade…",neutro
735," verdade, tem uns agentes que agem como se fossem os donos do aeroporto, do avião e etc.",neutro
736," não , mas vce tem que dar uma resolução ao paciente",neutro
742,Passa o ,neutro
744,"
FAÇAM ALGUMA COISA",neutro
765, muitas vezes ficam só mulheres no portão de embarque,neutro
766, eu pedi demissão ontem por conta disso e outras questões,neutro
813,"Latam: legal, amanhã segue a escala normal.",neutro
814," , qual a previsão para leis e normas que protejam agentes de aeroportos ?",neutro
832, Uma cadeira de rodas e uma folga no dia...,neutro
836, olhem por nós.,neutro
848, a ANAC.,neutro
854, Temos previsão de uma lei mais rígida para esse tipo de caso?,neutro
877, não entendi,neutro
879,😢😢😢,neutro
910,Mds,neutro
916,Qual o apoio que a  deu a Camila?,neutro
976,Até quando? ,neutro
1018,O que está acontecendo com as pessoas?,neutro
1062, exatamente,neutro
1216, De onde vc tirou isso?,neutro
1226,esse não é o número de Embraer s na frota da Azul?,neutro
1233,Agora volta Cnf/sdu 😍😍😍,neutro
1236," não , foi vc que vendeu 😂😂😂",neutro
1241,Eu já voei nesta aeronave há alguns anos,neutro
1257,Sim é um a320,neutro
1270, claro 😂,neutro
1277, Até a assinatura,neutro
1287,Deixa eu tomar um café e volto a ler aqui,neutro
1292,Se rendeu aos Airbus,neutro
1317, EXATAMENTE ISSO 👏🏻!!!,neutro
1328,não era 50?,neutro
1337,"Talvez para compra apenas, como é leasing",neutro
1342,WTF?,neutro
1370, Lamia,neutro
1388,  maior que a Europa,neutro
1389,Quem avaliou ? O Lito ?,neutro
1482, eu tb,neutro
1525,Eu nunca entendo como fazem essas escolhas,neutro
1544,Tá parecendo mesmo,neutro
1572,Irão deixar com as cores da Transbrasil?,neutro
1575,Só no Brasil mesmo gente.,neutro
1579,O áudio bugado kkkk,neutro
1587, Boeing 767,neutro
1589,Vão fazer o que com essa aeronave histórica?,neutro
1597,"Sem os motores, ou as carenagens",neutro
1599,"E ""espera um pouquinho"" umas 300...",neutro
1611, ainda existe o PT- TAA? Ele está aonde?  E em que estado ?,neutro
1612," A Original do Arco Iria , deveria mesmo ser essa pintura",neutro
1618, olha aí vc,neutro
1619,Vai voar mesmo?,neutro
1627,Inicialmente suas asas e matrícula eram pintadas de verde.,neutro
1630,Tomara que seja água de re uso,neutro
1636,Tem certeza disso?,neutro
1637,Se precisar de ajuda para dar um banho nesse lindao eu estou aqui🙋‍♂️🤩😂,neutro
1645, gostaria de ver ele por dentro.,neutro
1648, ..olha,neutro
1659,Deve ser por isso q ela chorou 😂😂😂,neutro
1666,Foi o q pensei 👍,neutro
1667, Voo vê conexões . Voo para Disney dão de Recife ou Campinas,neutro
1670, é sobre o sonho da Júlia 😍,neutro
1673, mas o portão de embarque diz para onde o avião vai,neutro
1674,Que eu possa fazer isso para minha filha um dia 😍,neutro
1676,Júlia chorou e eu tbm ❤️❤️,neutro
1678,Prefiro Miami,neutro
1685, triste é limitar sonhos ou achar que não vale a pena.,neutro
1686, ainda tem muita coisa grátis no mundo. Uma delas é entender e respeitar sonhos alheios.,neutro
1687, mas sempre levam sonhos,neutro
1689, mas estará voltando com a realidade. Deixou de ser sonho. Só boas recordações.,neutro
1691," acorda, cara. Ninguém criticou o sonho de ninguém!!!",neutro
1692,Mas eu quero ir pra Bahia 😂😂😂😂😂😂😂,neutro
